ruby-0.49	416.8
ruby-0.50	396.6
ruby-0.51	271.8
ruby-0.54	241.2
ruby-0.55	227.8
ruby-0.60	235.0
ruby-0.62	254.8
ruby-0.63	268.2
ruby-0.64	280.4
ruby-0.65	274.2
ruby-0.69	286.2
ruby-0.73	294.6
ruby-0.76	285.6
ruby-0.95	300.0
ruby-1.2	231.2
ruby-1.2.1	236.8
ruby-1.2.2	234.2
ruby-1.2.3	237.8
ruby-1.2.4	228.4
ruby-1.2.5	228.0
ruby-1.2.6	248.4
ruby-1.3	249.0
ruby-1.3.5	228.6
ruby-1.3.6	222.6
ruby-1.3.7	238.8
ruby-1.4.0	235.0
ruby-1.4.1	225.6
ruby-1.4.2	224.0
ruby-1.4.3	237.2
ruby-1.4.4	227.4
ruby-1.4.5	229.4
ruby-1.4.6	227.6
ruby-1.6.0	228.4
ruby-1.6.1	224.6
ruby-1.6.2	233.4
ruby-1.6.3	232.0
ruby-1.6.4	239.0
ruby-1.6.5	245.4
ruby-1.6.6	226.8
ruby-1.6.7	231.2
ruby-1.6.8	225.0
ruby-1.8.0	152.0
ruby-1.8.1	150.4
ruby-1.8.2	154.8
ruby-1.8.3	154.0
ruby-1.8.4	146.0
ruby-1.8.5	143.6
ruby-1.8.6	140.8
ruby-1.8.7	151.8
ruby-2.0.0-p0	318.4
ruby-2.1.0	324.2
ruby-2.1.1	330.2
ruby-2.1.2	333.2
ruby-2.1.3	321.6
ruby-2.1.4	317.2
ruby-2.1.5	312.6
ruby-2.1.6	337.0
ruby-2.1.7	333.8
ruby-2.1.8	322.0
ruby-2.1.9	316.0
ruby-2.1.10	319.6
ruby-2.2.0	97.4
ruby-2.2.1	98.8
ruby-2.2.2	99.8
ruby-2.2.3	93.2
ruby-2.2.4	105.2
ruby-2.2.5	105.2
ruby-2.2.6	101.4
ruby-2.2.7	107.6
ruby-2.2.8	108.8
ruby-2.2.9	101.4
ruby-2.2.10	99.0
ruby-2.3.0	109.2
ruby-2.3.1	101.2
ruby-2.3.2	102.6
ruby-2.3.3	101.8
ruby-2.3.4	104.8
ruby-2.3.5	106.0
ruby-2.3.6	103.0
ruby-2.3.7	107.4
ruby-2.3.8	106.2
ruby-2.4.0	82.8
ruby-2.4.1	86.0
ruby-2.4.2	93.8
ruby-2.4.3	95.4
ruby-2.4.4	87.4
ruby-2.4.5	86.4
ruby-2.4.6	90.4
ruby-2.4.7	84.4
ruby-2.4.9	93.8
ruby-2.4.10	95.4
ruby-2.5.0	97.4
ruby-2.5.1	92.6
ruby-2.5.2	94.4
ruby-2.5.3	98.6
ruby-2.5.4	110.2
ruby-2.5.5	105.0
ruby-2.5.6	110.2
ruby-2.5.7	110.0
ruby-2.5.8	112.4
ruby-2.5.9	110.2
ruby-2.6.0	114.2
ruby-2.6.1	111.4
ruby-2.6.2	114.0
ruby-2.6.3	111.4
ruby-2.6.4	104.8
ruby-2.6.5	110.0
ruby-2.6.6	113.6
ruby-2.6.7	106.6
ruby-2.6.8	105.2
ruby-2.7.0	124.8
ruby-2.7.1	104.0
ruby-2.7.2	98.2
ruby-2.7.3	99.6
ruby-2.7.4	122.0
ruby-3.0.0	107.2
ruby-3.0.1	114.4
ruby-3.0.2	110.2
